reaction_type,mae_thermo_kcal_mol,mae_kinetic_kcal_mol,dft_mae_thermo_kcal_mol,dft_mae_kinetic_kcal_mol,mlip_mae_thermo_kcal_mol,mlip_mae_kinetic_kcal_mol,semiempirical_mae_thermo_kcal_mol,semiempirical_mae_kinetic_kcal_mol,average_run_time_seconds
C-C,2.33108638,2.44155554,2.51709959,2.15403863,2.12862529,2.52954230,4.26837145,3.04638576,1846.54207115
C-Hal,2.18377475,2.60812103,2.26889135,2.97140587,2.19596139,2.54281502,1.39297234,1.11002324,1029.33055036
C-O,2.68837507,4.07048643,3.62672673,4.33423371,1.94038674,3.90246065,8.08772685,4.91266799,659.68503729
C-S,3.21839912,2.31759818,3.12140700,2.24768609,3.34885571,2.42059816,1.81003853,1.15898304,993.69671591
HAT,4.39791227,4.85573093,2.15970048,5.00068091,5.44110704,4.58609292,3.37427829,8.15528936,898.40656425
N-X,2.67910035,2.51899036,3.65744412,2.63528888,2.05219087,2.38927666,5.86124561,3.78031983,1293.91394991
Si-X,3.99881553,2.71085881,4.14372649,2.09521516,3.51273370,2.80559809,10.76174804,5.50453586,1550.41538670
