reaction_type,model,model_category,average_run_time_seconds,mae_thermo_kcal_mol,mae_kinetic_kcal_mol,combined_mae_kcal_mol
C-O,OLYP-D3BJ,DFT,2148.71500000,10.13507661,10.16436111,10.14971886
C-S,B2GP-PLYP-D4,DFT,809.70683333,1.88997527,0.97008245,1.43002886
C-S,gxtb,Semiempirical tight-binding,0.07434597,1.81003853,1.15898304,1.48451079
C-S,wB97M-V,DFT,5439.50770833,2.13389580,1.11422262,1.62405921
C-S,uma-s-1p2,MLIP,0.04776284,2.03068935,1.29784021,1.66426478
C-S,allscaip-md-direct-all-omol,MLIP,0.01668754,1.80803465,1.64329163,1.72566314
C-S,uma-s-1p1,MLIP,0.03816935,2.05861377,1.42366876,1.74114126
C-S,allscaip-md-conserving-all-omol,MLIP,0.05122843,2.13415794,1.35455303,1.74435549
C-S,uma-m-1p1,MLIP,0.08396821,2.34384454,1.23735304,1.79059879
C-S,esen-md-direct-all-omol,MLIP,0.02304703,2.32108211,1.31256343,1.81682277
C-S,M06-2X-D30,DFT,999.44316667,2.64447496,1.32223819,1.98335657
C-S,esen-sm-conserving-all-omol,MLIP,0.03173596,2.98063861,1.52645591,2.25354726
C-S,MACE-OMOL,MLIP,0.05681336,3.03320721,1.83690600,2.43505660
C-S,polar-1-l,MLIP,0.14812710,2.91617878,2.02883177,2.47250528
C-S,esen-sm-direct-all-omol,MLIP,0.01142736,2.27862049,2.82736299,2.55299174
C-S,polar-1-m,MLIP,0.07449190,3.18840543,2.01240137,2.60040340
C-S,M06-D4,DFT,7733.82958333,3.08158037,2.45315937,2.76736987
C-S,B97M-V,DFT,2363.62333333,3.64825490,2.22180886,2.93503188
C-S,orbmol_v1_conservative,MLIP,0.40442579,2.96859903,3.09603616,3.03231759
C-S,B3PW91-D4,DFT,5149.23875000,3.50090258,2.93393650,3.21741954
C-S,orbmol_v2,MLIP,0.48471507,4.55194978,2.41035379,3.48115179
C-S,OLYP-D3BJ,DFT,1351.75958333,4.95076512,4.71835462,4.83455987
C-S,orbmol_v1_direct,MLIP,0.01078226,5.07693675,5.33162315,5.20427995
C-S,polar-1-s,MLIP,0.04056262,6.40737848,4.08141908,5.24439878
C-S,aimnet2-nse,MLIP,0.01393279,7.48335436,5.30891029,6.39613232
HAT,B2GP-PLYP-D4,DFT,710.56968889,0.87731633,1.63290054,1.25510844
HAT,esen-sm-direct-all-omol,MLIP,0.01283239,1.38157227,2.02142864,1.70150046
HAT,wB97M-V,DFT,4467.12496296,1.85441364,2.81733788,2.33587576
HAT,M06-2X-D30,DFT,1022.95158519,1.79652025,2.92838829,2.36245427
HAT,esen-md-direct-all-omol,MLIP,0.02599018,1.68979641,3.03857327,2.36418484
HAT,polar-1-m,MLIP,0.07855714,2.32171521,3.21928007,2.77049764
HAT,MACE-OMOL,MLIP,0.06205639,2.75200253,2.86640908,2.80920581
HAT,M06-D4,DFT,5589.97785185,1.31197952,4.71112628,3.01155290
HAT,uma-m-1p1,MLIP,0.11046941,3.03938685,3.22464927,3.13201806
HAT,polar-1-l,MLIP,0.15723780,2.43422727,3.84650542,3.14036634
HAT,esen-sm-conserving-all-omol,MLIP,0.03595201,3.55175682,2.74080784,3.14628233
HAT,B3PW91-D4,DFT,4112.74607407,1.26074013,6.29303952,3.77688983
HAT,aimnet2-nse,MLIP,0.00350257,2.71554841,5.84047100,4.27800971
HAT,B97M-V,DFT,3167.32288889,2.85438209,6.24303622,4.54870916
HAT,allscaip-md-conserving-all-omol,MLIP,0.05849538,5.47104996,3.85023549,4.66064272
HAT,polar-1-s,MLIP,0.04143260,3.92394664,5.84966580,4.88680622
HAT,allscaip-md-direct-all-omol,MLIP,0.01907607,6.10127023,4.27526942,5.18826982
HAT,uma-s-1p2,MLIP,0.04461860,5.91441605,5.20950371,5.56195988
HAT,gxtb,Semiempirical tight-binding,0.06158085,3.37427829,8.15528936,5.76478383
HAT,OLYP-D3BJ,DFT,2490.27400000,5.16255142,10.37893761,7.77074451
HAT,orbmol_v2,MLIP,0.01406222,10.98508378,5.78758981,8.38633679
HAT,orbmol_v1_direct,MLIP,0.00808010,9.51246620,7.70630353,8.60938487
HAT,orbmol_v1_conservative,MLIP,0.01286224,11.32296165,6.11407998,8.71852082
HAT,uma-s-1p1,MLIP,0.04368412,13.94051243,7.78671433,10.86361338
N-X,orbmol_v2,MLIP,0.01384107,1.50712469,1.06058317,1.28385393
N-X,esen-md-direct-all-omol,MLIP,0.02736205,1.66667627,1.00187469,1.33427548
N-X,M06-2X-D30,DFT,1128.74666667,1.66306640,1.09976301,1.38141470
N-X,B2GP-PLYP-D4,DFT,1422.89866667,1.82048494,1.00809696,1.41429095
N-X,allscaip-md-direct-all-omol,MLIP,0.01898186,1.74001946,1.15997473,1.44999710
N-X,wB97M-V,DFT,6972.30620370,1.87079161,1.06421684,1.46750423
N-X,uma-m-1p1,MLIP,0.10722035,1.77541023,1.21011955,1.49276489
N-X,uma-s-1p2,MLIP,0.04406052,1.58411107,1.45508465,1.51959786
N-X,allscaip-md-conserving-all-omol,MLIP,0.05962299,1.91962874,1.21297919,1.56630396
N-X,polar-1-l,MLIP,0.16603494,1.11727589,2.06486829,1.59107209
N-X,MACE-OMOL,MLIP,0.06972644,1.78759378,1.62654885,1.70707131
N-X,uma-s-1p1,MLIP,0.04384673,1.67112106,1.86939827,1.77025967
N-X,esen-sm-conserving-all-omol,MLIP,0.03567781,1.75240795,1.84851582,1.80046189
N-X,orbmol_v1_conservative,MLIP,0.01275069,1.47650557,2.91402786,2.19526671
N-X,esen-sm-direct-all-omol,MLIP,0.01371706,2.50653277,2.85691101,2.68172189
N-X,orbmol_v1_direct,MLIP,0.00771692,2.59471769,3.19661265,2.89566517
N-X,M06-D4,DFT,10019.17537037,3.18293195,2.77877906,2.98085550
N-X,polar-1-m,MLIP,0.07919114,2.88457392,3.27273185,3.07865288
N-X,B97M-V,DFT,3395.01129630,3.73789349,3.18784377,3.46286863
N-X,aimnet2-nse,MLIP,0.00349732,2.62674290,5.81512144,4.22093217
N-X,B3PW91-D4,DFT,6321.74277778,5.17780361,3.36247652,4.27014007
N-X,gxtb,Semiempirical tight-binding,0.08298199,5.86124561,3.78031983,4.82078272
N-X,polar-1-s,MLIP,0.04295674,4.22461189,5.66307456,4.94384322
N-X,OLYP-D3BJ,DFT,1793.22462963,8.14913683,5.94584597,7.04749140
Si-X,B2GP-PLYP-D4,DFT,1763.40828571,0.39528190,0.32179662,0.35853926
Si-X,M06-2X-D30,DFT,1624.92800000,1.02520766,0.55185335,0.78853050
Si-X,M06-D4,DFT,11448.10428571,2.18017167,1.09009747,1.63513457
Si-X,orbmol_v2,MLIP,0.01362235,2.85462829,1.43048687,2.14255758
Si-X,MACE-OMOL,MLIP,0.08944955,1.97387765,2.66547442,2.31967603
Si-X,polar-1-m,MLIP,0.09068137,2.96766521,1.73029013,2.34897767
Si-X,allscaip-md-conserving-all-omol,MLIP,0.05931451,3.10785997,1.59841219,2.35313608
Si-X,polar-1-l,MLIP,0.19053036,3.33283870,1.70954310,2.52119090
Si-X,uma-s-1p1,MLIP,0.04386069,3.04754070,2.00866039,2.52810054
Si-X,esen-md-direct-all-omol,MLIP,0.02625568,3.50164074,1.75083201,2.62623638
Si-X,wB97M-V,DFT,8081.34047619,3.54829672,1.77416000,2.66122836
Si-X,orbmol_v1_direct,MLIP,0.00770709,3.36792234,2.02883384,2.69837809
Si-X,esen-sm-conserving-all-omol,MLIP,0.03593737,2.86608555,2.61014443,2.73811499
Si-X,orbmol_v1_conservative,MLIP,0.01283182,3.27346604,3.14976327,3.21161465
Si-X,allscaip-md-direct-all-omol,MLIP,0.01902171,3.85920095,2.57443465,3.21681780
Si-X,uma-m-1p1,MLIP,0.10358439,4.06214645,2.66920849,3.36567747
Si-X,uma-s-1p2,MLIP,0.04356683,4.56633061,2.97901769,3.77267415
Si-X,B97M-V,DFT,4549.88571429,5.06888094,2.53445211,3.80166652
Si-X,B3PW91-D4,DFT,6885.13000000,5.14905448,2.57453887,3.86179668
Si-X,esen-sm-direct-all-omol,MLIP,0.01301946,4.81969993,2.92666056,3.87318025
Si-X,polar-1-s,MLIP,0.04281304,5.44562717,2.72282522,4.08422619
Si-X,aimnet2-nse,MLIP,0.00332556,3.15720885,10.33498222,6.74609553
Si-X,gxtb,Semiempirical tight-binding,0.10318761,10.76174804,5.50453586,8.13314195
Si-X,OLYP-D3BJ,DFT,2856.27380952,11.63919209,5.81960768,8.72939988
